tmdb_id,title,year,genres,runtime,tmdb_rating,poster_path,valence,arousal,dominance,absorption,hedonic,eudaimonic,psych_rich,emotional_arc,dominant_emotions,mood_tags,watch_context,vibe_sentence,pacing,ending_type,comfort_level,safety_warnings,conversation_potential,rt_critic,rt_audience,imdb_rating
2,Ariel,1988,"[""Comedy"",""Drama"",""Romance"",""Crime""]",73,7.104,/ojDg0PGvs6R9xYFodRct2kdI6wC.jpg,-0.15,0.25,-0.35,0.72,0.15,0.85,0.8,man-in-a-hole,"[""sadness"",""hope"",""loneliness""]","[""redemption"",""working-class-struggle"",""isolation"",""urban-melancholy"",""first-love"",""grief""]","[""solo""]",A quiet fall through gray Finnish winter toward unexpected grace.,slow-burn,bittersweet,0.35,"[""sudden-grief""]",0.78,,,7.4
3,Shadows in Paradise,1986,"[""Comedy"",""Drama"",""Romance""]",74,7.261,/nj01hspawPof0mJmlgfjuLyJuRN.jpg,-0.15,0.35,0.25,0.62,0.35,0.78,0.72,man-in-a-hole,"[""sadness"",""trust"",""anticipation""]","[""loneliness"",""class-struggle"",""unlikely-connection"",""melancholy-romance"",""working-poor"",""nordic-noir""]","[""solo"",""date""]",Two lonely people finding warmth in Helsinki's cold margins.,slow-burn,bittersweet,0.72,"[]",0.68,,87,7.4
5,Four Rooms,1995,"[""Comedy""]",98,5.892,/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,-0.15,0.6,0.3,0.35,0.45,0.15,0.5,episodic,"[""surprise"",""anticipation""]","[""dark-humor"",""new-year"",""absurdist"",""anthology"",""hotel-chaos"",""indie""]","[""friends"",""solo""]",Chaotic midnight madness with uneven laughs and exhausting energy.,relentless,unsettling,0.55,"[]",0.65,13,69,6.7
6,Judgment Night,1993,"[""Action"",""Crime"",""Thriller""]",109,6.5,/3rvvpS9YPM5HB2f4HYiNiJVtdam.jpg,-0.4,0.75,-0.55,0.45,0.5,0.25,0.2,man-in-a-hole,"[""fear"",""anger""]","[""survival"",""pursuit"",""urban-danger"",""helplessness"",""witness-trauma""]","[""solo"",""friends""]","Trapped in an endless chase through a hostile city, gasping for air.",relentless,devastating,0.35,"[""sudden-grief""]",0.55,,,6.6
11,Star Wars,1977,"[""Adventure"",""Action"",""Science Fiction""]",121,8.2,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,0.8,0.75,0.85,0.65,0.85,0.7,0.6,rags-to-riches,"[""joy"",""anticipation"",""triumph""]","[""heroic-journey"",""good-vs-evil"",""adventure"",""wonder"",""redemption"",""escapism""]","[""friends"",""family"",""solo""]",Soaring through starfields with infectious wonder and pure cinematic joy.,building,triumphant,0.9,"[]",0.75,,,8.6
12,Finding Nemo,2003,"[""Animation"",""Family"",""Adventure""]",100,7.817,/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg,0.72,0.68,0.75,0.62,0.88,0.76,0.54,man-in-a-hole,"[""joy"",""trust"",""anticipation""]","[""father-son-bond"",""found-family"",""coming-of-age"",""adventure"",""resilience"",""ocean-wonder""]","[""family"",""friends""]",Sunlit ocean adventure with surprising emotional depth beneath the laughs.,building,triumphant,0.85,"[""sudden-grief""]",0.68,,,8.2
13,Forrest Gump,1994,"[""Comedy"",""Drama"",""Romance""]",142,8.463,/saHP97rTPS5eLmrLQEcANmKrsFl.jpg,0.62,0.45,0.68,0.58,0.82,0.71,0.54,man-in-a-hole,"[""joy"",""sadness"",""trust""]","[""feel-good"",""coming-of-age"",""found-family"",""optimism"",""bittersweet"",""nostalgia""]","[""solo"",""date"",""family""]","Warm nostalgia with an ache underneath, moving effortlessly through decades.",episodic,bittersweet,0.82,"[""sudden-grief""]",0.68,71,95,8.8
14,American Beauty,1999,"[""Drama""]",122,8,/wby9315QzVKdW9BonAefg8jGTTb.jpg,-0.15,0.55,0.25,0.82,0.35,0.88,0.85,icarus,"[""sadness"",""anger"",""anticipation""]","[""midlife-crisis"",""suburban-malaise"",""coming-of-age"",""existential"",""dark-satire"",""self-destruction""]","[""solo"",""friends""]",Seductive emptiness beneath manicured lawns; beauty as a mirror for rot.,building,devastating,0.4,"[""sudden-grief""]",0.92,87,93,8.3
15,Citizen Kane,1941,"[""Mystery"",""Drama""]",119,7.978,/sav0jxhqiH0bPr2vZFU0Kjt2nZL.jpg,-0.3,-0.4,-0.5,0.85,0.2,0.9,0.95,riches-to-rags,"[""sadness"",""melancholy"",""sympathy""]","[""ambition-and-ruin"",""isolation"",""nostalgia"",""american-dream-critique"",""existential"",""power-corruption""]","[""solo""]","Chasing ghosts through palatial ruins, haunted by the weight of everything you've built.",slow-burn,devastating,0.4,"[]",0.92,99,90,8.2
16,Dancer in the Dark,2000,"[""Drama"",""Crime""]",140,7.85,/pWzOfTJRZHPNO1VNrMnNFqRcJwg.jpg,-0.85,0.6,-0.75,0.88,0.15,0.92,0.85,oedipus,"[""sadness"",""anger"",""despair""]","[""hopelessness"",""injustice"",""isolation"",""maternal-sacrifice"",""poverty-trap"",""systemic-cruelty""]","[""solo""]","Watching joy dissolve into unbearable darkness, minute by minute.",slow-burn,devastating,0.12,"[""suicide"",""sudden-grief""]",0.92,69,91,7.9
